Model,Najniža cijena (€),Prodavnica,Link
LAPTOP HP VICTUS 15-FA0040NM 6M559EA,796.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-victus-15-fa0040nm-6m559ea.html
LAPTOP HP OMEN 16-K0004NM 6M5Q1EA,1723.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-omen-16-k0004nm-6m5q1ea.html
LAPTOP ASUS ROG ZEPHYRUS DUO 16 GX650PZ-NM014X,4499.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-zephirus-gx650pz-nm014x-r9-32g-1t-rtx4080-w11.html
LAPTOP ACER PREDATOR HELIOS PH16-71-9310 NH.QJSEX.007,3213.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-ac-ph16-71-9310-predator-helios-nhqjsex007.html
MACBOOK PRO 14 APPLE SILVER/M4/10C/10C GPU/16GB/512GB MW2W3ZE/A,2110.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-pro-14-apple-silver-m4-10c-10c-gpu-16gb-512gb-mw2w3ze-a.html
LAPTOP HP PAV X360 14-DY0004NM I3-1125G4/8G/512,720.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-pav-x360-14-dy0004nm-i3-1125g4-8g-512.html
LAPTOP ACER NITRO 5 AN515-46-R17V NH.QGXEX.007 + DUB-M810 USB-C HUB,1197.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-nitro-5-an515-46-r17v-nhqgxex007-dub-m810-usb-c-hub.html
LAPTOP ACER AN517-41-R0AG NITRO NH.QBHEX.00E+DUB M810 (USB-C HUB),1579.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-an517-41-r0ag-nitro-nhqbhex00edub-m810-usb-c-hub.html
LAPTOP ACER A315-24P-R8D1 NX.KDEEX.00U+DUB-M810 (USB-C HUB),567.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a315-24p-r8d1-nxkdeex00udub-m810-usb-c-hub.html
LAPTOP ASUS VIVOBOOK PRO K6502VU-OLED-MA531X + DUB-M810,1759.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-pro-k6502vu-oled-ma531x-dub-m810.html
LAPTOP ASUS VIVOBOOK GO 15 X1504VA-BQ522,702.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-go-15-x1504va-bq522.html
LAPTOP ACER A515-57-538V NX.KN4EX.00C + DUB-M810,719.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a515-57-538v-nxkn4ex00c-dub-m810.html
MACBOOK AIR 13.6 APPLE SPACE GREY/M2/8C GPU/8GB/256GB-ZEE MLXW3ZE/A,999.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-air-136-apple-space-grey-m2-8c-gpu-8gb-256gb-zee-mlxw3ze-a.html
LAPTOP ASUS G614JU-N3111W I7-13650HX/16G/1T/RTX4050/W11H,1971.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-g614ju-n3111w-i7-13650hx-16g-1t-rtx4050-w11h.html
LAPTOP ACER A315-44P-R6PK NX.KSJEX.016,463.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a315-44p-r6pk-nxksjex016.html
LAPTOP ASUS EXPERTBOOK B5602FBA-OLED-UI73D0X,1683.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-expertbook-b5602fba-oled-ui73d0x.html
LAPTOP ASUS VIVOBOOK 15 X150AZA-NJ870,495.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-racunar-asus-vivobook-15-x150aza-nj870.html
"LAPTOP ACER ASPIRE A315-59-75PU, NX.K6VEX.00C",805.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-aspire-a315-59-75pu-nxk6vex00c.html
LAPTOP ACER PH16-71-956T NH.QJREX.008,2700.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-ph16-71-956t-nhqjrex008.html
LAPTOP HP PAV. 14-DV1039NM I5-1155G7/8G/256 634N4EA,625.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-pav-14-dv1039nm-i5-1155g7-8g-256-634n4ea.html
LAPTOP ACER A515-57-538V NX.KN4EX.00C,670.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a515-57-538v-nxkn4ex00c.html
LAPTOP ASUS VIVOBOOK K3604VA-OLED-L731W+DUB-M810,1440.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-k3604va-oled-l731wdub-m810.html
LAPTOP ACER EX215-55-57QP NX.EGYEX.00R+TORBA MS NOTE D100,575.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-ex215-55-57qp-nxegyex00rtorba-ms-note-d100.html
LAPTOP ASUS UX7602ZM-OLED-ME951X I9-12900H/32G/2T/3060/W11P,3599.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-ux7602zm-oled-me951x-i9-12900h-32g-2t-3060-w11p.html
LAPTOP ASUS ZENBOOK 14 UX425JA-WB501T,765.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-ux425ja-wb501t.html
MACBOOK AIR 13.3 APPLE SPG/M1/8C CPU/7C GPU/8GB/256GB-ZEE MGN63ZE/A,899.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-air-133-apple-spg-8c-cpu-7c-gpu-8gb-256gb-zee-mgn63ze-a.html
LAPTOP ASUS VIVOBOOK 14 KM413UA-WB511T,549.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-km413ua-wb511tmis.html
LAPTOP HP OMEN 17-CB1021NM 2L2H3EA,2024.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-omen-17-cb1021nm-i9-16-512-rtx2080-2l2h3ea.html
LAPTOP ACER ASPIRE 5 A514-54-3064 NX.A29EX.004,522.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a514-54-3064-14i3-1115g4-12gb-256.html
LAPTOP GIGABYTE G5 KC-5EE1130SD  NOT18209,1169.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-gigabyte-g5-kc-5ee1130sd-not18209.html
LAPTOP ASUS K3400PA OLED KM511,809.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-k3400pa-oled-km511.html
LAPTOP DELL VOSTRO 3591 i5-1135G7/8GB/256GB SSD/IRIS NOT01841,629.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-vostro-3510-156-fhd-i5-1135g7-8gb-256gb-ssd-intel-iris-xe-crni-5y5b-mis.html
LAPTOP GIGABYTE G5 KD-52EE123SD,1296.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-gigabyte-g5-kd-52ee123sd.html
LAPTOP ASUS EXPERTBOOK B1500CEAE-EJ0270R,539.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-b1500ceae-ej0270r-w10p.html
LAPTOP ACER PH315-54-732Y NH.QC1EX.007,1710.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-ph315-54-732y-nhqc1ex007.html
LAPTOP HP 250 G8 3V5N7EA,529.2,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-250-g8-i3-1115g4-8gb-256gb-w10h-3v5n7ea.html
LAPTOP DELL VOSTRO 5502 I5-1135G7/8GB/256GB/IRIS,679.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-vostro-5502-156-fhd-i5-1135g7-8gb-256gb-ssd-intel-iris-xe-backlit-sivi.html
LAPTOP ACER SWIFT 1 SF114-34-P1W8 NX.A77EX.00H,479.7,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-sf114-34-p1w8-nxa77ex00h.html
LAPTOP HP 15S-FQ2041NM 434D4EA,360.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-15s-fq2041nm-i3-11-4-256-434d4ea.html
LAPTOP DELL VOSTRO 3525 AMD RYZEN 5 5625U/8GB/512GB NOT20089,580.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-vostro-3525-156-fhd-120hz-amd-ryzen-5-5625u-8gb-512gb-ssd-not20089.html
LAPTOP LENOVO IDEAPAD GAMING 3 15IHU6 82K101CDYA,828.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-gaming-3-15ihu6-82k101cdya.html
LAPTOP HP 15S-FQ2025NM 2R2R8EA,539.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-15s-fq2025nm-2r2r8ea.html
LAPTOP HP 250 G9 I3 1215U/8GB/256 6F1Z7EA,395.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-250-g9-i3-1215u-8gb-256-6f1z7ea.html
"LAPTOP ACER ASPIRE A315 15.6"" FHD RYZEN 7 5700U/16GB/512GB",502.34,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-aspire-a315-156-fhd-ryzen-7-5700u-16gb-512gb.html
MACBOOK AIR 13.6 APPLE SILVER/M2/8C GPU/16GB/256GB-ZEE MC7V4ZE/A,1049.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-air-136-apple-silver-m2-8c-gpu-16gb-256gb-zee-mc7v4ze-a.html
LAPTOP HP PB455G9 R5-5625U/8GB/512 9M3Q0AT,449.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-pb-455-g9-r5-8gb-512-9m3q0at.html
MACBOOK PRO 14 APPLE SPACE BLACK/M4/10C/10C GPU/16GB/512GB MW2U3ZE/A,2110.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-pro-14-apple-space-black-m4-10c-10c-gpu-16gb-512gb-mw2u3ze-a.html
"NB ASUS 14"" TP3402VA-LZ452 Touch i3-1315U/8G/512GB/Bl",697.84,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/nb-asus-14-tp3402va-lz452-touch-i3-1315u-8g-512gb-bl.html
"FA507NUR-LP003, 15,6/FHD/7-7435HS/16GB/RTX4550/S512GB",1280.46,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/fa507nur-lp003-156-fhd-7-7435hs-16gb-rtx4550-s512gb.html
"NOT LENOVO V15-IJL G2 15,6"" CELERON N4500/8G/256G/DOS/3Y, 82QY00QCYA",304.25,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/not-lenovo-v15-ijl-g2-156-celeron-n4500-8g-256g-dos-3y-82qy00qcya.html
"NOT LN V15-AMN G4 R5-7520U/16G/512G/DOS/YU/3Y, 82YU00YQYA",516.59,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/not-lenovo-v15-amn-g4-r5-7520u-16g-512g-dos-3y-82yu00yqya.html
"NOT LN V15 G4 IRU I5-13420H 16G/512G/DOS/YU/3Y, 83A100ABYA",542.48,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/not-ln-v15-g4-iru-i5-13420h-16g-512g-dos-yu-3y-83a100abya.html
"ASUS ROG Strix G16, G614JVR-N4003",2163.0,PC-Gamer,https://pc-gamer.me/p/ASUS-ROG-Strix-G16-G614JVR-N4003--103911
"M1502YA-BQ018, 15,6""/FHD/Ryzen 7 7730U/16GB/S1TB/INT/DOS/BLU/2Y",736.68,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/nb-asus-156-m1502ya-bq018-r7-7730u-16g-1tb.html
"LAPTOP ASUS 15.6"" X1504VA-BQ005 I5-1335U/16GB/512GB",666.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-156-x1504va-bq005-i5-1335u-16gb-512gb.html
"NB ASUS 15,6"" X1504ZA-NJ887 i5-1235U/16GB/512GB",529.53,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/nb-asus-156-x1504za-nj887-i5-1235u-16gb-512gb.html
"E1504FA-NJ935, 15,6""/FHD/Ryzen 3 7230U/8GB/S512GB/INT/DOS/GRN/2Y",438.9,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/nb-asus-156-e1504fa-nj935-r3-7320u-8g-512g.html
LAPTOP DELL VOSTRO 3520 15.6' FHD 120HZ I3-1215U/512GB NOT23899,378.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-vostro-3520-156-fhd-120hz-i3-1215u-512gb-not23899.html
"UX3405CA-QL279, 14""/WUXGA/H Core Ultra 5/16G/S1TB/DOS/INT/BLU/2Y",1281.75,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/ux3405ca-ql279-14-wuxga-h-core-ultra-5-16g-s1tb-dos-int-blu-2y.html
"NB ASUS 14"" Zenbook ASUS UM3406KA-QD149W",1474.66,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/nb-asus-14-zenbook-asus-um3406ka-qd149w.html
"NOT HP Victus 15-fb2015nm, A71RZEA#BED",1086.25,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/not-hp-victus-15-fb2015nm-a71rzeabed.html
"HP NOT 255 G10 R5-7530U 16G512,AK9N8AT#BED",516.59,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/hp-not-255-g10-r5-7530u-16g512ak9n8atbed.html
HP Pavilion 15-eh3025nm 9J528EA,753.0,PC-Gamer,https://pc-gamer.me/p/HP-Pavilion-15-eh3025nm-9J528EA--110881
"ANV15-41-R5H1, 15,6/FHD/Ryzen 5 6600H/16GB/S512GB/RTX2050/DOS/BLK/2Y",827.31,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/anv15-41-r5h1-156-fhd-ryzen-5-6600h-16gb-s512gb-rtx2050-dos-blk-2y.html
"UX8406CA-QL075W, 14""/FHD/H Core Ultra 7/32G/1TB/W11H/INT/GRY/2Y",2109.07,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/ux8406ca-ql075w-14-fhd-h-core-ultra-7-32g-1tb-w11h-int-gry-2y.html
"NOT AC ANV15-41-R7ET, NH.QSGEX.008",1073.31,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/not-ac-anv15-41-r7et-nhqsgex008.html
"FA507UI-HQ029, 15,6""/QHD/R 9 8945H/32GB/S1TB/RTX 4070-8GB/DOS/RGY/2Y",2067.64,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/fa507ui-hq029-156-qhd-r-9-8945h-32gb-s1tb-rtx-4070-8gb-dos-rgy-2y.html
"UX3407RA-QD026X, 14/WUXGA/X Elite X1E/32GB/S1TB/INT/W11P/GRY/2Y",1837.18,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/ux3407ra-qd026x-14-wuxga-x-elite-x1e-32gb-s1tb-int-w11p-gry-2y.html
"X1504ZA-NJ847, 15,6""/FHD/i3-1215U/8GB/S512GB/INT/DOS/BLU/2Y",438.9,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/x1504za-nj847-156-fhd-i3-1215u-8gb-s512gb-int-dos-blu-2y.html
"NOT AC A315-44P-R65Z, NX.KSJEX.022",516.59,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/not-ac-a315-44p-r65z-nxksjex022.html
"NB ASUS 15,6"" FA506NC-HN012 R5-7535HS/H/16G/512G/RTX3050",969.73,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/nb-asus-156-fa506nc-hn012-r5-7535hs-h-16g-512g-rtx3050.html
"Dell G15 5530 i5-13450HX/16GB DDR5/512GB/15.6"" FHD 120Hz/RTX 3050 6GB/Backlit US/NoOS",1109.5,PC-Gamer,https://pc-gamer.me/p/Dell-G15-5530-i5-13450HX-16GB-DDR5-512GB-15-6-FHD-120Hz-RTX-3050-6GB-Backlit-US-NoOS--110242
"Dell G15 5530 i7-13650HX/16GB/1TB/15.6"" FHD 165 Hz/RTX 4060 8GB/US Backlit/NoOS",1614.8,PC-Gamer,https://pc-gamer.me/p/Dell-G15-5530-i7-13650HX-16GB-1TB-15-6-FHD-165-Hz-RTX-4060-8GB-US-Backlit-NoOS--110244
"Dell Latitude 3450 i5-1335U/16GB DDR5/512GB/14"" FHD IPS/IntelIris/Backlit YU/NoOS",949.1,PC-Gamer,https://pc-gamer.me/p/Dell-Latitude-3450-i5-1335U-16GB-DDR5-512GB-14-FHD-IPS-IntelIris-Backlit-YU-NoOS--110310
"Dell Vostro 3530 i5-1334U/8GB/512GB SSD/15.6"" FHD 120Hz/IntelUHD/YU/NoOS",497.16,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-vostro-3530-i5-1334u-8gb-512gb-ssd-156-fhd-120hz-inteluhd-yu-noos.html
"HP EliteBook 660 G11 Ultra5 125U/16GB DDR5/512GB/16"" WUXGA IPS/IntellUHD/BacklitYU/NoOS/Silver",919.24,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/hp-elitebook-660-g11-ultra5-125u-16gb-ddr5-512gb-16-wuxga-ips-intelluhd-backlityu-noos-silver.html
"HP EliteBook 830 G11 Win11 PRO/Ultra7 155U/16GB DDR5/512GB SSD/13.3"" WUXGA IPS/Silver/YU",1385.33,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/hp-elitebook-830-g11-win11-pro-ultra7-155u-16gb-ddr5-512gb-ssd-133-wuxga-ips-silver.html
HP OmniBook Ultra Flip 14-fh0001nm,2126.7,PC-Gamer,https://pc-gamer.me/p/HP-OmniBook-Ultra-Flip-14-fh0001nm--109976
"HP Pavilion Aero 13-bg0035nn Win11/Ryzen5 8640U/16GB DDR5/512GB/13.3"" WQXGA IPS/Backlit ENG/silver",1228.67,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/hp-pavilion-aero-13-bg0035nn-win11-ryzen5-8640u-16gb-ddr5-512gb-133-wqxga-ips-backlit-eng-silver.html
"HP Pavilion x360 14-ek1008nm i5-1335U/16GB/512GB SSD/14"" FHD IPS Touch MicroEdge/IntelIris/NoOS/Silv",919.24,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/hp-pavilion-x360-14-ek1008nm-i5-1335u-16gb-512gb-ssd-14-fhd-ips-touch-microedge-inteliris-noos-silv.html
"HP Spectre x360 16-aa0008nn Win11/Ultra7 155H/32GB DDR5/2TB SSD/16"" 2.8K OLED Touch HDR/RTX4050 6GB",2964.86,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/hp-spectre-x360-16-aa0008nn-win11-ultra7-155h-32gb-ddr5-2tb-ssd-16-28k-oled-touch-hdr-rtx4050-6gb.html
"HP Victus Gaming 16-r0026nm i5-13500H/16GB DDR5/512GB SSD/16.1"" FHD 144Hz IPS/RTX4050 6GB/NoOS",1035.76,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/hp-victus-gaming-16-r0026nm-i5-13500h-16gb-ddr5-512gb-ssd-161-fhd-144hz-ips-rtx4050-6gb-noos.html
Lenovo Legion 5 16IRX9 i5-13450HX/16GB DDR5/512GB SSD/16,1422.88,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/lenovo-legion-5-16irx9-i5-13450hx-16gb-ddr5-512gb-ssd-16-wqxga-ips-165hz-rtx4060-8gb-backlityu-noos.html
"Lenovo Legion 5 i5-13450HX/16GB DDR5/1TB/RTX4060/16"" WQXGA IPS/bklt YU/LunaGray",1513.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/lenovo-legion-5-i5-13450hx-16gb-ddr5-1tb-rtx4060-16-wqxga-ips-bklt-yu-lunagray.html
"Lenovo ThinkPad E16 Gen 2 Ultra5 125U/16GB DDR5/512GB/16"" WUXGA IPS/BacklitUK/NoOS/Black",1021.52,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/lenovo-thinkpad-e16-gen-2-ultra5-125u-16gb-ddr5-512gb-16-wuxga-ips-backlituk-noos-black.html
"Tesla Book9 Win11/i7-12700H/16GB/512GB SSD/16"" QHD IPS 120Hz 350nits/RTX2050 DDR6 4GB/Silver",1240.32,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/tesla-book9-win11-i7-12700h-16gb-512gb-ssd-16-qhd-ips-120hz-350nits-rtx2050-ddr6-4gb-silver.html
